cleaned_comment,vader_pos,vader_neu,vader_neg,compound_score,ground_truth_label
kenapa di era pak prabowo semua langsung terungkap  krn pak jokowi ud ngumpulin semua bukti dan dikasih semua ke pak prabowo    rival kece,0.0,1.0,0.0,0.0,netral
"desa saya min  
desa plakaran  kec  moga kab  pemalang
lurahnya sudah    th satu keluarga  dua periode suaminya  dua periode istrinya   sekarang mau anaknya  
periksa desa saya pak jaksa tolong",0.103,0.897,0.0,0.4588,positif
ternyata bangsa kita sekaya itu,0.31,0.69,0.0,0.5574,positif
andai perampasan aset udh di sahkan,0.366,0.407,0.228,0.1779,positif
saya yakin di era bapak prabowo indonesia maju,0.35,0.65,0.0,0.5106,positif
mantap ternak mulyono satu persatu terungkap tinggal master mind nya  menyala pak jendral prabowo,0.0,1.0,0.0,0.0,netral
apakah ada yg lbh besar dari kasus  yg sdh diungkap tsb,0.0,1.0,0.0,0.0,netral
semoga bapak jaksa agung st burhanuddin selalu dalam lindungan allah swt aamiin yaa robbal aalamiin,0.244,0.756,0.0,0.4404,positif
nilainya bkan lagi m man ta triliunan,0.255,0.745,0.0,0.34,positif
mainya triliun buset,0.0,1.0,0.0,0.0,netral
kayanya gue gak kaget lagi deh denger duit triliunan,0.0,0.844,0.156,-0.1695,negatif
mas adam mantap,0.577,0.423,0.0,0.6249,positif
kpk tujuannya kmn,0.0,1.0,0.0,0.0,netral
"sekarang gue tau anggaran untuk makan gratis anak sekolah dari mana
menyala pak prabowo",0.202,0.798,0.0,0.5106,positif
uang  sitaan ini di kemanain ya,0.0,1.0,0.0,0.0,netral
ternyata indonesia  sebenrnya kaya    tapi kenapa rakyat masih susah cari kerja,0.107,0.742,0.151,-0.2382,negatif
kami masyarakat indonesia percaya akan kepemimpinan bpk st burhanuddin menjadi jaksa agung ntuk   periode  trimakasih pak presiden jokowi dan pak presiden prabowo subianto,0.153,0.847,0.0,0.6597,positif
sehat selalu bpk st burhanuddin  rakyat butuh org spt anda  seribu satu org spt anda,0.271,0.729,0.0,0.6369,positif
waw kl di gabung smw makan bergizi di sekolah makin cepat terwujud,0.0,1.0,0.0,0.0,netral
data di kumpulkan di era pak jokowi di eksekusi di era pak prabowo   menyala presidenku,0.0,1.0,0.0,0.0,netral
bersama pak burhanuddin kita bersih bersih kawan,0.537,0.463,0.0,0.7003,positif
buset ampe triliun  gua ora liat rupa nya kek mna,0.0,1.0,0.0,0.0,netral
kalo pemerintahan sudah bebenah kita sebagai rakyat juga harus bebenah  naikan sdm  jaga apa yang sudah pemerintah beri  manfaatkan,0.127,0.873,0.0,0.4404,positif
smoga negri ini lebih membaik skrng brada ditngn sesuai bidangnya,0.359,0.641,0.0,0.6808,positif
jangan diragukan lagi si kumis melengkung tidak bisa di tikung,0.209,0.791,0.0,0.2755,positif
tidak ada yg kebal ingat kata pak prabowo di yg punya kuasa sekarang  kalau pak jokowi masi di bawah,0.083,0.833,0.083,0.0,netral
pak periksa bpjs pak,0.0,1.0,0.0,0.0,netral
bpk jokowi yg ngelist data  dan bpk prabowo yg eksekusi  mantab,0.0,1.0,0.0,0.0,netral
jangan macam macam kalo pak prabowo yg naik ri,0.0,1.0,0.0,0.0,netral
negara kita sedang di tangan para pejabat yg pas di bidang ny,0.0,1.0,0.0,0.0,netral
waskita  bansos  bumn  dana haji bisa yok,0.0,1.0,0.0,0.0,netral
alasan pak prabowo masih memilih pak st burhanuddin jadi ja,0.0,1.0,0.0,0.0,netral
sebenarnya kita sudah merdeka kalian sadar nggk sih,0.0,1.0,0.0,0.0,netral
utang negara sedang dipulihkan,0.304,0.38,0.316,-0.0258,netral
mantap prabowo dan para mentri  nya,0.506,0.494,0.0,0.6249,positif
ayo lebih semangat lagi pak bersih bersihnya,0.683,0.317,0.0,0.8234,positif
kejaksaan kita lagi jaya  nya,0.0,1.0,0.0,0.0,netral
sek sekk aq kok ratau delok kpk lgsung grcep la trs kpk krjaan opo iki,0.0,1.0,0.0,0.0,netral
ternyata duit kita banyak ges     harusnya bisa nih bikin rakyat lebih sejahtera  dari ekonomi  pendidikan  kesehatan  dll,0.124,0.876,0.0,0.5256,positif
bisa bikin rumah rakyat indo yg blom punya rumah,0.0,1.0,0.0,0.0,netral
smua sudah ada di catatan pak prabowo  inilah waktu yg tepat,0.0,1.0,0.0,0.0,netral
